School Name,County,Avg. Annual Salaries Administrators,Avg. Annual Salaries Teachers,Avg. Annual Salaries Support Personnel
Savannah Early College High School,Savannah-Chatham County,117394.0,61008.78,80560.0
School of Humanities at Juliette Gordon Low,Savannah-Chatham County,80686.27,52970.8,62254.44
Susie King Taylor Community School,Savannah-Chatham County,76654.0,53208.5,48967.0
Savannah Classical Academy Charter High School,Savannah-Chatham County,127249.0,49804.76,63388.5
Henderson E Formey Jr Early Learning Center,Savannah-Chatham County,77041.5,51643.11,68107.4
Savannah-Chatham E-Learning Academy,Savannah-Chatham County,74878.6,56279.75,61359.33
Otis J Brock III Elementary School,Savannah-Chatham County,97358.0,52763.59,64617.67
Gadsden Elementary School,Savannah-Chatham County,100355.5,58192.79,71556.67
Howard Elementary School,Savannah-Chatham County,92357.0,59713.83,63498.25
White Bluff Elementary School,Savannah-Chatham County,98511.5,56962.18,61674.0
Beach High School,Savannah-Chatham County,82059.17,54711.16,69535.43
Gould Elementary School,Savannah-Chatham County,92872.5,56674.91,63653.89
Hubert Middle School,Savannah-Chatham County,83610.33,51177.64,62331.33
Largo-Tibet Elementary School,Savannah-Chatham County,85646.0,56078.5,65031.73
Andrea B Williams Elementary School,Savannah-Chatham County,87894.67,55824.11,64743.67
Groves High School,Savannah-Chatham County,86202.0,59680.19,63874.4
Isle of Hope School,Savannah-Chatham County,103294.5,58303.47,63448.78
Pooler Elementary School,Savannah-Chatham County,92279.0,55316.98,70863.67
Bloomingdale Elementary School,Savannah-Chatham County,87359.0,55720.06,57272.2
Ellis Elementary School,Savannah-Chatham County,108652.0,59729.58,51143.47
Haven Elementary School,Savannah-Chatham County,96197.0,54424.79,67143.25
Hesse School,Savannah-Chatham County,100603.75,57636.43,67992.2
Port Wentworth Elementary School,Savannah-Chatham County,101867.0,52839.12,65797.0
Windsor Forest Elementary School,Savannah-Chatham County,87359.0,54589.69,62071.8
Butler Elementary School,Savannah-Chatham County,88497.33,58244.33,64023.38
Hodge Elementary School,Savannah-Chatham County,95387.5,54494.19,61928.83
Jenkins High School,Savannah-Chatham County,100189.67,62352.55,70059.38
Mercer Middle School,Savannah-Chatham County,90520.8,47403.44,63582.75
Jacob G. Smith Elementary School,Savannah-Chatham County,104740.0,60186.39,63648.8
Windsor Forest High School,Savannah-Chatham County,94183.5,57585.44,71333.43
Building Bridges Academy,Savannah-Chatham County,119694.0,57103.56,62439.33
Building Bridges Academy Middle School,Savannah-Chatham County,71509.0,59615.76,69742.0
WINGS Elementary Alternative Learning Program,Savannah-Chatham County,87175.0,40500.0,0
Oatland Island Pre-K Program,Savannah-Chatham County,0,52210.0,0
Academy Committed to Excellence for Students (ACES),Savannah-Chatham County,0,59061.29,0
Coastal Georgia Comprehensive Academy,Savannah-Chatham County,148435.0,59127.69,79648.0
Chattahoochee County Education Center,Chattahoochee County,77399.85,47762.69,52145.26
Chattahoochee County Middle School,Chattahoochee County,82066.64,59294.73,59095.53
Chattahoochee County High School,Chattahoochee County,75268.22,56589.23,60620.48
Leroy Massey Elementary School,Chattooga County,85582.1,53590.8,64509.09
Chattooga High School,Chattooga County,95706.13,62239.29,71299.68
Lyerly Elementary School,Chattooga County,91564.24,58963.62,62856.66
Summerville Middle School,Chattooga County,84112.48,55405.97,59586.22
Menlo Elementary School,Chattooga County,91564.24,57320.5,62766.54
Summerville Pre-K,Chattooga County,0,54211.08,0
Chattooga County Crossroads Academy,Chattooga County,89564.24,0,0
Carmel Elementary School,Cherokee County,90540.93,63590.94,71257.6
Woodstock Elementary School,Cherokee County,88545.33,64817.09,74072.13
"William G. Hasty, Sr. Elementary School",Cherokee County,94339.6,61576.48,72648.4
Creekview High School,Cherokee County,99184.94,64903.7,79614.68
Avery Elementary School,Cherokee County,97720.13,65995.99,73228.53
Mill Creek Middle School,Cherokee County,98039.26,65268.5,70951.07
River Ridge High School,Cherokee County,104277.71,64393.89,69116.95
Indian Knoll Elementary,Cherokee County,94729.33,67964.49,75389.47
Etowah High School,Cherokee County,98207.14,65960.43,71983.01
E. T. Booth Middle School,Cherokee County,92895.2,64667.62,75530.8
Johnston Elementary School,Cherokee County,90021.8,60066.58,71823.8
Dean Rusk Middle School,Cherokee County,100018.0,66469.83,69043.47
Boston Elementary School,Cherokee County,90143.6,63010.1,69239.8
Mountain Road Elementary School,Cherokee County,90969.2,66726.91,75167.8
Sequoyah High School,Cherokee County,96311.74,66353.6,67480.51
Sixes Elementary School,Cherokee County,94571.47,66156.92,70533.07
Bascomb Elementary School,Cherokee County,89980.8,67177.67,66872.4
Woodstock High School,Cherokee County,102779.27,65220.26,68097.97
R. M. Moore Elementary School,Cherokee County,86862.0,62604.38,70884.11
Holly Springs Elementary School,Cherokee County,91900.0,63318.73,70061.87
Liberty Elementary School,Cherokee County,287342.91000000003,186983.68,198289.06000000003
Freedom Middle School,Cherokee County,206680.99,134623.46,141694.34
Ball Ground Elementary School,Cherokee County,94188.8,67691.76,58204.6
Teasley Middle School,Cherokee County,97232.0,66690.37,70014.73
Woodstock Middle School,Cherokee County,95861.37,63083.17,75737.92
Creekland Middle School,Cherokee County,183835.39,128646.26000000001,144915.53
Little River Elem.,Cherokee County,90383.9,63884.25,77991.2
Clark Creek Elementary School,Cherokee County,91811.9,62072.88,76277.4
Arnold Mill Elementary School,Cherokee County,92490.75,62778.69,75001.87
Free Home Elementary School,Cherokee County,93100.8,66894.97,77702.4
J. Knox Elementary,Cherokee County,90733.2,65936.01,66130.13
Clayton Elementary School,Cherokee County,101215.2,64737.68,78453.46
Oak Grove Elementary School,Cherokee County,286752.93,189835.77,224573.15000000002
Hickory Flat Elementary School,Cherokee County,180389.45,123457.38,138725.87
Cherokee High School,Cherokee County,102315.43,65040.64,74097.85
Macedonia Elementary School,Cherokee County,101846.4,66950.77,69347.47
Ralph Bunche Center,Cherokee County,92811.2,57222.44,64305.29
ACE Academy,Cherokee County,111284.0,71962.4,66700.5
Tippens Educational Center,Cherokee County,89928.66,56167.26,73232.33
Consolidated School Nutrition,Cherokee County,1368659.58,0,84308.0
Cedar Shoals High School,Clarke County,92340.67,58082.99,62874.79
Classic City High School,Clarke County,97383.07,60012.49,47435.94
